Day Number,L0,L1,L2,L3,L4,L5,L6
0,"[0.996, 1.0]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
5,"[0.996, 1.0]","[0.0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
10,"[0.9959192964687564, 1.0]","[8.070353124356799e-05, 0.9740037464]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
15,"[0.9958368610105631, 1.0]","[0.00016313898943690487, 0.9614779265605281]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
20,"[0.9957526544919483, 1.0]","[0.00024734550805167733, 0.9492566630170721]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
25,"[0.9956666368547896, 1.0]","[0.00033336314521030807, 0.9373324643249891]","[0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
30,"[0.9955787670935824, 1.0]","[0.00042123290641749646, 0.9256980287720074]","[0.0, nan]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
35,"[0.995489003232129, 1.0]","[0.0004302932366273513, 0.9256991656230771]","[8.070353124356799e-05, 0.8538149682]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
40,"[0.9953973022996335, 1.0]","[0.0004395587109294263, 0.9257003026547638]","[0.00016313898943690487, 0.8428347922720308]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
45,"[0.9953036203061871, 1.0]","[0.00044903418576107423, 0.9257014398663667]","[0.00024734550805167733, 0.8321215914493599]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
50,"[0.9952079122176261, 1.0]","[0.00045872463716349187, 0.9257025772571886]","[0.00033336314521030807, 0.8216687986783451]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
55,"[0.9951101319297482, 1.0]","[0.000468635163834211, 0.9257037148265354]","[0.00042123290641749646, 0.8114700132427325]","[0, nan]","[0, nan]","[0, nan]","[0, 0.0]"
